GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
redis-project,com.example.RedisProject.CustomEndpoint,InfoEndpoint,0,33,0,0,0,7,0,2,0,2
redis-project,com.example.RedisProject.CustomEndpoint,HealthEndpoint,0,21,0,2,0,7,0,3,0,2
redis-project,com.example.RedisProject.ServiceImpl,Implementation,5,147,4,18,1,37,4,14,0,7
redis-project,com.example.RedisProject,RedisProjectApplication,5,11,0,0,2,3,1,2,1,2
redis-project,com.example.RedisProject.Redis,FilterSelector,68,7,10,0,22,2,8,2,3,2
redis-project,com.example.RedisProject.Redis,RedisConfig,0,84,0,0,0,19,0,4,0,4
redis-project,com.example.RedisProject.Redis,RedisImpl,138,7,14,0,18,2,8,2,1,2
redis-project,com.example.RedisProject.Redis,CustomImpl,151,10,10,0,21,4,8,2,3,2
redis-project,com.example.RedisProject.controller,QueueClass,8,95,1,7,3,25,1,10,0,7
redis-project,com.example.RedisProject.controller,CustomQueue,2,34,1,1,1,12,1,5,0,5
redis-project,com.example.RedisProject.controller,RabbitQ,9,45,1,1,3,13,1,5,0,5
